Ring;Nimi;Aeg:;Sektor;Sektor1;Sektor2;Viga
1;Rannar;77.743;26.155;26.8;24.788;False
2;Rannar;73.137;25.751;23.547;23.839;False
3;Rannar;72.413;23.843;25.094;23.476;False
4;Rannar;70.68599999999999;23.028;24.504;23.154;False
5;Rannar;74.949;26.307;25.123;23.519;False
6;Rannar;121.072;33.809;43.31;43.953;True
7;Rannar;77.708;26.45;26.049;25.209;False
8;Rannar;77.011;25.96;26.858;24.193;False
9;Rannar;75.681;26.139;24.129;25.413;False
10;Rannar;76.864;26.816;23.767;26.281;False
1;Karlana;191.132;67.218;51.45;72.464;True
2;Karlana;75.626;24.656;26.262;24.708;False
3;Karlana;72.72999999999999;23.569;24.496;24.665;False
4;Karlana;77.009;24.605;25.627;26.777;False
5;Karlana;75.259;23.586;26.506;25.167;False
6;Karlana;76.98;26.431;25.228;25.321;False
7;Karlana;76.438;25.751;24.054;26.633;False
8;Karlana;72.024;25.394;23.622;23.008;False
9;Karlana;72.57900000000001;24.181;24.001;24.397;False
10;Karlana;77.065;25.144;26.233;25.688;False
1;Kreete;77.042;26.285;25.722;25.035;False
2;Kreete;73.517;25.988;23.62;23.909;False
3;Kreete;76.89099999999999;26.115;24.673000000000002;26.103;False
4;Kreete;76.39;23.666;26.675;26.049;False
5;Kreete;74.80799999999999;23.913;25.247;25.648;False
6;Kreete;76.324;24.762;26.389;25.173;False
7;Kreete;75.318;24.366;25.208;25.744;False
8;Kreete;74.972;24.239;24.182;26.551;False
9;Kreete;224.753;74.52;84.329;65.904;True
10;Kreete;78.653;25.663;26.329;26.661;False
1;Lewis;77.34;25.147;26.344;25.849;False
2;Lewis;77.134;25.576;26.576;24.982;False
3;Lewis;73.796;24.707;26.071;23.018;False
4;Lewis;70.951;23.708;23.543;23.7;False
5;Lewis;75.194;25.386;23.242;26.566;False
6;Lewis;78.515;26.237;26.931;25.347;False
7;Lewis;73.97200000000001;25.657;25.013;23.302;False
8;Lewis;77.967;26.399;25.993;25.575;False
9;Lewis;78.207;26.886;25.269;26.052;False
10;Lewis;75.318;24.465;26.019;24.834;False
1;David;73.72;23.978;24.371;25.371;False
2;David;71.043;23.01;24.047;23.986;False
3;David;73.452;23.298;24.676;25.478;False
4;David;75.017;24.322;26.83;23.865;False
5;David;183.661;66.015;30.884;86.762;True
6;David;69.199;23.027;23.011;23.161;False
7;David;74.16;23.903;24.419;25.838;False
8;David;71.982;25.369;23.237;23.376;False
9;David;77.356;24.774;25.985;26.597;False
10;David;79.05;26.949;25.944;26.157;False
